jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Chico,Sport Recife,DF,945,15,38,61.4,27,17,7,1,0,0,14,19,73.7,12,1,61.4% (27/17)
Diogo Hereda,Sport Recife,DF,848,18,47,50.0,11,11,13,1,0,0,11,16,68.8,7,0,50.0% (11/11)
Igor Cariús,Sport Recife,DF,648,18,37,62.2,23,14,9,1,0,0,11,16,68.8,11,0,62.2% (23/14)
João Silva,Sport Recife,DF,720,4,37,56.7,17,13,6,1,0,0,2,8,25.0,6,0,56.7% (17/13)
Alan Franco,São Paulo,DF,631,3,10,54.2,13,11,7,1,0,0,3,6,50.0,5,1,54.2% (13/11)
Enzo Díaz,São Paulo,DF,688,16,44,60.9,14,9,23,3,0,0,17,23,73.9,9,0,60.9% (14/9)
Nahuel Ferraresi,São Paulo,DF,649,14,39,58.8,10,7,12,2,0,0,13,20,65.0,8,0,58.8% (10/7)
João Victor,Vasco da Gama,DF,990,3,47,75.0,30,10,7,1,0,0,12,14,85.7,8,2,75.0% (30/10)
Lucas Piton,Vasco da Gama,DF,900,17,48,35.7,5,9,15,2,0,0,4,11,36.4,11,0,35.7% (5/9)
Paulo Henrique,Vasco da Gama,DF,803,25,33,50.0,11,11,14,4,0,0,19,29,65.5,6,1,50.0% (11/11)
Claudinho,Vitória,DF,695,26,35,44.4,4,5,8,4,0,0,10,17,58.8,8,1,44.4% (4/5)
Jamerson,Vitória,DF,982,33,41,60.0,12,8,9,0,0,0,11,18,61.1,12,0,60.0% (12/8)
Lucas Halter,Vitória,DF,990,6,27,63.6,14,8,5,2,0,0,9,13,69.2,3,0,63.6% (14/8)
Zé Marcos,Vitória,DF,675,4,30,65.2,15,8,5,1,0,0,3,3,100.0,5,0,65.2% (15/8)
