jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Guilherme,Santos,FW,682,1.8,0.3,1,0,28,28,6,17,34,16,8,50.0% (8/16),56
João Schmidt,Santos,MF,616,0.4,0.2,0,0,1,45,4,41,1,2,2,100.0% (2/2),46
Tiquinho Soares,Santos,FW,627,1.7,0.4,0,1,3,9,5,11,1,11,5,45.5% (5/11),12
Christian Rivera,Sport Recife,MF,663,0.1,0.1,0,0,3,25,2,18,0,3,1,33.3% (1/3),28
Chrystian Barletta,Sport Recife,"FW,MF",795,1.6,0.3,2,0,32,23,6,11,24,44,20,45.5% (20/44),55
Du Queiroz,Sport Recife,MF,621,0.5,0.5,0,0,16,36,8,30,7,12,2,16.7% (2/12),52
Lucas Lima,Sport Recife,"MF,FW",783,0.5,1.3,0,2,14,64,25,40,64,13,8,61.5% (8/13),78
Alisson,São Paulo,MF,840,0.4,0.2,0,0,11,45,5,44,5,6,3,50.0% (3/6),56
André Silva,São Paulo,FW,714,2.8,2.0,2,1,7,11,8,7,5,12,0,0.0% (0/12),18
Lucas Ferreira,São Paulo,FW,668,1.0,0.5,0,0,30,16,10,4,25,43,9,20.9% (9/43),46
Hugo Moura,Vasco da Gama,MF,773,0.3,0.3,0,1,5,30,5,34,3,5,1,20.0% (1/5),35
Nuno Gonçalo Moreira,Vasco da Gama,FW,773,1.0,1.2,2,1,26,52,12,32,29,25,11,44.0% (11/25),78
Pablo Vegetti,Vasco da Gama,FW,828,4.8,0.5,7,1,0,7,4,2,2,2,0,0.0% (0/2),7
Rayan Vitor,Vasco da Gama,FW,708,1.3,0.8,1,1,19,15,5,12,12,17,6,35.3% (6/17),34
Janderson,Vitória,"FW,MF",734,0.7,0.3,1,0,9,12,6,5,5,26,11,42.3% (11/26),21
Matheusinho,Vitória,MF,648,1.5,0.3,2,0,22,24,7,25,14,21,6,28.6% (6/21),46
Ronald,Vitória,MF,650,0.1,0.5,0,0,15,42,11,39,7,15,10,66.7% (10/15),57
