jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
João Victor,Mirassol,DF,27-277,990,5,20,0.0,71.1,27,11,10,2,0,0,1,3,6,50.0,11,0,71.1% (27/11)
Lucas Ramon,Mirassol,DF,31-091,826,18,25,0.9,64.0,16,9,11,2,0,0,31,9,22,40.9,19,0,64.0% (16/9)
Reinaldo,Mirassol,DF,35-251,911,15,51,2.3,37.5,3,5,8,2,0,0,48,6,18,33.3,5,2,37.5% (3/5)
Agustín Giay,Palmeiras,DF,21-141,880,19,52,0.6,52.6,10,9,11,0,0,0,13,17,26,65.4,11,2,52.6% (10/9)
Gustavo Gómez,Palmeiras,DF,32-031,709,0,9,0.0,57.9,22,16,9,3,0,0,2,5,10,50.0,8,1,57.9% (22/16)
Joaquín Piquerez,Palmeiras,DF,26-286,945,14,65,0.8,72.7,8,3,6,2,0,0,49,14,22,63.6,12,1,72.7% (8/3)
Guzmán Rodríguez,RB Bragantino,DF,25-118,900,3,27,0.0,66.7,14,7,7,3,0,0,2,5,12,41.7,4,0,66.7% (14/7)
José Hurtado,RB Bragantino,DF,23-165,844,20,30,0.3,50.0,12,12,17,2,0,0,29,12,18,66.7,10,0,50.0% (12/12)
Juninho Capixaba,RB Bragantino,DF,27-335,990,18,71,1.2,57.9,22,16,13,1,0,0,27,13,22,59.1,13,0,57.9% (22/16)
Pedro Henrique,RB Bragantino,DF,29-247,900,5,29,0.2,70.0,35,15,6,2,0,0,0,7,14,50.0,13,0,70.0% (35/15)
Gonzalo Escobar,Santos,DF,28-082,873,11,48,0.6,34.6,9,17,17,3,1,1,31,23,30,76.7,20,0,34.6% (9/17)
Zé Ivaldo,Santos,DF,28-105,900,4,32,0.0,74.2,23,8,13,4,0,0,1,9,17,52.9,7,0,74.2% (23/8)
Chico,Sport Recife,DF,26-265,945,15,38,0.2,61.4,27,17,7,1,0,0,1,14,19,73.7,12,1,61.4% (27/17)
Diogo Hereda,Sport Recife,DF,26-259,848,18,47,0.4,50.0,11,11,13,1,0,0,34,11,16,68.8,7,0,50.0% (11/11)
Igor Cariús,Sport Recife,DF,32-036,648,18,37,0.3,62.2,23,14,9,1,0,0,20,11,16,68.8,11,0,62.2% (23/14)
João Silva,Sport Recife,DF,26-143,720,4,37,0.5,56.7,17,13,6,1,0,0,1,2,8,25.0,6,0,56.7% (17/13)
Alan Franco,São Paulo,DF,28-238,631,3,10,0.0,54.2,13,11,7,1,0,0,0,3,6,50.0,5,1,54.2% (13/11)
Enzo Díaz,São Paulo,DF,29-181,688,16,44,2.0,60.9,14,9,23,3,0,0,33,17,23,73.9,9,0,60.9% (14/9)
Nahuel Ferraresi,São Paulo,DF,26-199,649,14,39,0.3,58.8,10,7,12,2,0,0,10,13,20,65.0,8,0,58.8% (10/7)
João Victor,Vasco da Gama,DF,26-324,990,3,47,0.1,75.0,30,10,7,1,0,0,2,12,14,85.7,8,2,75.0% (30/10)
Lucas Piton,Vasco da Gama,DF,24-240,900,17,48,2.1,35.7,5,9,15,2,0,0,61,4,11,36.4,11,0,35.7% (5/9)
Paulo Henrique,Vasco da Gama,DF,28-316,803,25,33,1.2,50.0,11,11,14,4,0,0,36,19,29,65.5,6,1,50.0% (11/11)
Claudinho,Vitória,DF,24-255,695,26,35,0.9,44.4,4,5,8,4,0,0,37,10,17,58.8,8,1,44.4% (4/5)
Jamerson,Vitória,DF,26-270,982,33,41,1.0,60.0,12,8,9,0,0,0,62,11,18,61.1,12,0,60.0% (12/8)
Lucas Halter,Vitória,DF,25-035,990,6,27,0.0,63.6,14,8,5,2,0,0,0,9,13,69.2,3,0,63.6% (14/8)
Zé Marcos,Vitória,DF,27-125,675,4,30,0.0,65.2,15,8,5,1,0,0,1,3,3,100.0,5,0,65.2% (15/8)
